index,carat,depth,table,x,y,z,price,cutne,colorne,clarityne
188,0.43,62.5,60.0,4.81,4.86,3.02,804,4,2,5
189,0.31,63.8,55.0,4.34,4.31,2.76,523,1,5,2
190,1.23,61.3,57.0,6.87,6.92,4.23,8431,2,4,1
191,1.01,62.4,58.0,6.37,6.41,3.99,4416,4,2,3
192,0.4,62.3,54.0,4.75,4.78,2.97,931,2,3,7
193,1.3,62.5,58.0,6.97,6.94,4.35,11392,3,2,4
194,0.5,63.1,60.0,5.0,5.04,3.17,1020,4,2,3
195,2.03,62.4,59.0,8.04,7.98,5.0,18286,3,0,3
196,0.4,62.9,57.0,4.7,4.75,2.97,596,4,6,5
197,0.32,63.3,56.0,4.35,4.34,2.75,720,4,1,2
198,1.01,63.9,58.0,6.37,6.31,4.05,3737,1,1,3
199,1.04,62.5,57.0,6.5,6.46,4.05,4648,2,4,2
200,0.31,61.9,58.0,4.38,4.35,2.7,1046,3,1,7
201,1.06,62.3,56.0,6.56,6.51,4.07,4530,2,5,5
202,1.05,63.1,60.0,6.42,6.49,4.07,4608,1,4,2
203,0.71,62.2,57.0,5.79,5.62,3.55,2776,2,1,5
204,0.34,62.6,56.0,4.44,4.47,2.79,537,2,5,4
205,0.73,62.2,54.0,5.8,5.75,3.59,3193,2,2,7
206,0.99,63.3,54.0,6.36,6.43,4.05,4052,1,2,3
207,0.9,62.2,55.0,6.19,6.22,3.86,4191,2,1,3
208,0.36,62.9,57.0,4.56,4.6,2.88,726,4,3,4
209,0.43,61.9,56.0,4.88,4.85,3.01,1048,2,1,5
210,1.01,62.0,58.0,6.41,6.37,3.96,4327,3,3,3
211,1.19,58.8,58.0,7.04,6.9,4.1,5504,3,0,3
212,0.39,62.4,59.0,4.58,4.65,2.88,562,4,4,3
213,0.87,63.1,60.0,6.03,5.96,3.78,2379,4,6,2
214,0.91,61.4,54.0,6.26,6.24,3.84,5252,2,1,2
215,0.35,61.0,57.0,4.54,4.57,2.78,633,2,3,5
216,1.02,61.9,58.0,6.43,6.49,4.0,5019,4,2,2
217,0.72,62.9,58.0,5.7,5.75,3.6,2396,4,4,5
218,0.7,60.6,60.0,5.71,5.75,3.47,2662,4,2,2
219,1.56,62.4,57.0,7.39,7.46,4.63,7809,2,6,5
220,1.12,61.8,58.0,6.62,6.68,4.11,4624,4,4,3
221,1.12,60.2,59.0,6.7,6.85,4.08,4852,4,3,3
222,2.16,62.3,60.0,8.19,8.31,5.14,14824,4,4,3
223,0.51,62.5,56.0,5.13,5.11,3.2,2056,2,0,5
224,0.24,62.5,56.0,3.98,4.02,2.5,478,4,2,7
225,1.27,60.4,58.0,7.04,7.0,4.24,4660,3,6,3
226,0.9,60.9,59.0,6.18,6.24,3.78,4269,4,3,5
227,0.7,64.5,59.0,5.54,5.51,3.56,2176,0,4,2
228,0.56,62.6,56.0,5.28,5.3,3.31,1761,2,2,5
229,1.13,60.1,60.0,6.77,6.73,4.06,5050,3,4,2
230,0.51,63.3,56.0,5.12,5.02,3.21,1071,4,6,2
231,1.01,62.9,57.0,6.43,6.39,4.03,6176,2,3,4
232,0.56,61.6,55.0,5.29,5.32,3.27,1723,2,2,5
233,0.73,62.1,54.0,5.81,5.76,3.59,2351,2,3,2
234,0.91,62.8,59.0,6.16,6.13,3.86,3898,3,1,3
235,0.4,62.9,56.0,4.71,4.67,2.95,1200,2,0,4
236,0.34,62.2,55.0,4.49,4.48,2.79,956,2,1,5
237,1.7,62.2,58.0,7.65,7.6,4.74,11888,3,5,5
238,0.9,62.9,57.0,6.16,6.18,3.88,4580,4,1,5
239,0.51,61.7,54.0,5.18,5.13,3.18,1781,2,1,5
240,0.7,60.3,60.0,5.69,5.75,3.45,3115,1,1,5
241,0.43,61.3,58.0,4.83,4.86,2.97,867,3,3,5
242,0.73,62.2,59.0,5.77,5.68,3.56,2821,3,1,2
243,0.32,61.4,55.0,4.42,4.44,2.72,713,2,1,4
244,0.32,61.5,59.0,4.41,4.37,2.7,936,3,4,6
245,0.91,62.4,58.0,6.17,6.21,3.86,3659,4,2,3
246,0.4,64.0,57.0,4.67,4.7,3.0,591,1,6,5
247,0.46,62.1,54.7,4.95,4.98,3.08,851,2,2,3
248,1.01,62.3,60.0,6.33,6.41,3.97,4666,4,5,5
249,0.31,62.0,56.0,4.35,4.39,2.71,625,2,2,5
250,1.11,62.0,54.0,6.64,6.61,4.11,4662,2,4,3
251,0.5,60.7,61.0,5.14,5.05,3.09,840,3,1,0
252,0.51,62.5,60.0,5.1,5.08,3.18,1709,3,1,5
253,0.3,61.9,57.0,4.3,4.32,2.67,776,2,2,6
254,0.41,61.3,56.0,4.79,4.81,2.94,1367,2,1,6
255,0.53,63.9,55.0,5.1,5.14,3.27,1226,1,0,3
256,0.3,61.1,59.0,4.37,4.3,2.65,608,3,4,5
257,0.4,62.6,58.0,4.66,4.73,2.94,807,3,4,4
258,0.32,61.2,56.0,4.39,4.43,2.7,803,2,0,7
259,1.3,62.1,55.0,6.96,7.04,4.35,12629,2,2,7
260,2.03,62.3,60.0,8.01,8.07,5.01,16392,4,5,2
261,2.03,62.7,65.0,8.17,7.92,5.06,13621,1,3,3
262,1.2,62.3,57.0,6.78,6.76,4.22,6569,4,4,2
263,2.18,62.0,57.0,8.35,8.24,5.14,13769,2,5,5
264,0.26,62.1,56.0,4.13,4.11,2.56,580,3,1,5
265,0.91,64.7,56.0,6.1,6.07,3.94,3816,0,4,2
266,0.34,62.1,55.0,4.51,4.47,2.79,765,2,1,2
267,0.33,60.8,56.0,4.42,4.46,2.7,868,2,3,6
268,0.33,61.9,55.0,4.42,4.44,2.74,955,2,2,6
269,0.35,62.2,58.0,4.47,4.5,2.79,718,3,1,4
270,0.71,63.3,56.0,5.67,5.64,3.58,2494,4,3,4
271,1.07,60.2,55.0,6.68,6.64,4.01,6112,3,0,2
272,0.71,62.9,56.0,5.65,5.7,3.57,3465,4,0,4
273,2.23,61.0,58.0,8.39,8.36,5.11,14867,3,6,5
274,0.43,61.6,55.0,4.85,4.89,3.0,1017,2,4,6
275,0.55,62.7,57.0,5.2,5.23,3.27,1755,2,0,5
276,0.9,62.3,56.0,6.14,6.21,3.85,3718,2,3,3
277,0.72,62.8,56.0,5.69,5.75,3.59,2562,4,5,6
278,0.31,61.7,55.1,4.36,4.39,2.7,429,2,6,4
279,0.23,61.1,55.0,3.98,4.01,2.44,484,2,4,6
280,0.31,60.4,59.0,4.37,4.34,2.63,1046,3,1,7
281,1.52,61.9,57.0,7.37,7.33,4.55,10129,2,2,3
282,1.22,59.0,58.0,6.96,7.08,4.14,6607,4,0,3
283,1.32,61.2,57.0,7.06,7.12,4.34,7480,2,5,4
284,1.24,59.9,59.0,7.01,6.95,4.18,5382,3,0,3
285,1.01,61.6,59.0,6.45,6.47,3.98,5166,3,4,5
286,0.4,61.8,56.0,4.73,4.79,2.94,639,2,5,5
287,0.8,61.4,57.0,5.99,5.93,3.66,2074,3,6,3
288,0.5,63.0,58.0,5.04,5.08,3.19,1316,4,1,2
289,1.09,60.3,61.0,6.64,6.69,4.02,4698,1,2,3
290,0.3,60.2,58.0,4.35,4.39,2.63,895,3,3,1
291,0.2,59.0,60.0,3.81,3.78,2.24,367,3,1,5
292,1.21,60.1,57.0,6.94,6.98,4.18,9873,2,3,5
293,1.43,66.0,57.0,7.02,7.0,4.63,6086,0,1,3
294,0.56,61.9,54.0,5.29,5.34,3.29,1689,2,5,1
295,1.71,61.6,59.0,7.65,7.68,4.72,10945,2,6,7
296,1.24,62.2,58.0,6.89,6.84,4.27,9411,3,2,5
297,1.43,61.5,58.0,7.27,7.22,4.45,8809,3,2,2
298,2.32,62.4,57.0,8.48,8.4,5.27,17053,3,6,5
299,0.34,62.6,58.0,4.45,4.47,2.79,626,3,5,6
300,0.41,60.7,57.0,4.8,4.85,2.93,1367,2,1,6
301,1.12,62.9,57.0,6.6,6.62,4.16,6262,4,2,2
302,1.03,62.5,59.0,6.44,6.42,4.02,6183,3,1,5
303,1.35,62.8,60.0,7.08,7.0,4.42,6804,3,2,3
304,0.32,61.7,56.0,4.37,4.41,2.71,730,2,3,6
305,0.3,59.4,60.0,4.39,4.47,2.63,802,2,0,7
306,0.5,57.9,61.0,5.23,5.2,3.02,1415,1,3,5
307,1.1,61.6,56.0,6.62,6.65,4.08,6837,2,3,2
308,0.33,61.4,59.0,4.49,4.43,2.74,854,3,3,4
309,0.51,62.1,56.0,5.1,5.13,3.18,1148,2,3,3
310,0.4,61.8,58.0,4.72,4.69,2.91,1088,3,4,6
311,0.73,59.1,59.0,5.92,5.95,3.51,2846,2,1,2
312,1.2,63.5,55.0,6.7,6.78,4.28,5913,1,0,2
313,0.77,61.0,56.0,5.91,5.96,3.62,3303,2,1,5
314,0.71,62.0,56.0,5.69,5.72,3.54,2098,4,5,2
315,0.7,61.0,55.0,5.74,5.79,3.52,3468,2,2,5
316,0.52,60.9,61.0,5.15,5.13,3.13,1605,3,0,2
317,0.57,61.6,56.0,5.32,5.35,3.28,1961,2,4,6
318,0.71,63.8,56.0,5.7,5.65,3.62,2572,1,5,6
319,0.32,62.3,55.0,4.37,4.4,2.73,645,2,3,4
320,0.7,61.7,59.0,5.64,5.67,3.49,1788,4,6,3
321,0.51,62.0,57.0,5.11,5.15,3.18,1841,2,1,4
322,0.31,59.2,62.0,4.41,4.34,2.59,997,3,2,6
323,0.41,62.0,56.0,4.74,4.78,2.95,899,2,4,7
324,0.97,59.9,59.0,6.39,6.36,3.82,4726,3,2,2
325,0.4,63.8,54.0,4.68,4.75,3.01,694,4,0,2
326,0.32,62.0,55.0,4.41,4.37,2.72,972,2,0,5
327,0.3,61.6,57.0,4.32,4.29,2.65,1013,2,1,7
328,0.91,58.2,59.0,6.36,6.4,3.71,3855,1,4,2
329,0.55,61.1,57.0,5.3,5.27,3.23,1819,2,2,5
330,1.09,62.3,62.0,6.63,6.57,4.11,2708,3,5,3
331,0.37,61.4,56.0,4.64,4.67,2.86,876,2,1,7
332,1.01,58.8,58.0,6.59,6.51,3.85,4395,3,3,2
333,0.54,61.6,56.0,5.23,5.26,3.23,2231,2,2,7
334,1.51,62.6,59.0,7.31,7.28,4.57,7292,3,5,3
335,1.05,61.3,57.0,6.58,6.51,4.01,7155,2,3,4
336,0.51,61.3,58.0,5.16,5.11,3.15,1084,3,5,2
337,1.01,63.5,60.0,6.41,6.38,3.92,4271,4,3,2
338,2.04,60.2,56.0,8.19,8.26,4.95,16718,2,5,2
339,1.55,60.7,59.0,7.5,7.47,4.54,8055,3,6,5
340,1.14,62.8,58.0,6.62,6.67,4.17,5487,1,4,2
341,0.41,61.4,56.0,4.81,4.83,2.96,1439,2,2,1
342,0.71,62.2,55.0,5.68,5.74,3.56,3045,4,2,4
343,1.11,60.4,59.0,6.7,6.64,4.03,3605,3,4,3
344,1.12,60.9,63.0,6.65,6.59,4.03,3864,4,1,3
345,0.32,60.4,59.0,4.42,4.39,2.66,504,3,4,3
346,0.7,63.7,55.0,5.63,5.58,3.57,2435,1,1,3
347,0.5,61.4,61.0,5.09,5.14,3.14,1068,4,2,3
348,0.31,62.0,55.0,4.36,4.38,2.71,734,2,0,5
349,1.01,61.0,58.0,6.53,6.49,3.97,4808,3,3,2
350,0.59,62.0,56.0,5.35,5.39,3.33,1878,4,3,4
351,0.32,61.5,56.0,4.42,4.39,2.71,972,2,0,5
352,0.71,61.0,56.0,5.77,5.8,3.53,2505,2,0,3
353,0.37,61.6,57.0,4.59,4.63,2.84,920,2,2,7
354,0.31,63.9,55.0,4.3,4.28,2.74,586,1,5,4
355,0.71,62.9,58.0,5.66,5.62,3.55,2364,3,4,2
356,1.21,61.6,61.0,6.88,6.83,4.22,6505,3,4,2
357,2.01,59.4,58.0,8.19,8.15,4.85,15562,3,3,3
358,0.32,61.8,56.0,4.39,4.41,2.72,1067,2,0,6
359,0.5,61.4,57.0,5.16,5.1,3.15,1909,3,3,7
360,0.31,62.1,56.0,4.31,4.34,2.69,871,2,3,1
361,0.4,63.2,58.0,4.7,4.66,2.96,882,4,1,2
362,0.23,61.3,58.0,3.93,3.97,2.42,530,4,0,7
363,0.38,61.4,57.0,4.65,4.68,2.87,617,2,6,5
364,1.38,61.4,61.0,7.1,7.14,4.37,11286,4,2,4
365,0.56,61.1,58.0,5.3,5.34,3.25,1963,3,0,5
366,1.33,58.6,61.0,7.21,7.17,4.21,9682,3,3,5
367,0.41,65.3,58.0,4.62,4.66,3.03,735,0,5,4
368,0.7,61.5,58.0,5.67,5.71,3.5,3429,4,1,7
369,0.71,61.6,57.0,5.71,5.79,3.54,3112,2,1,5
370,0.42,59.8,56.0,4.9,4.92,2.94,1167,4,1,7
371,1.56,62.2,58.0,7.41,7.44,4.62,10424,3,4,5
372,1.03,62.8,58.0,6.48,6.41,4.05,3634,3,6,3
373,0.41,62.8,57.0,4.76,4.73,2.98,1230,2,0,4
374,0.31,61.7,54.0,4.38,4.4,2.71,891,2,3,1
375,0.42,62.0,55.0,4.8,4.84,2.99,1233,2,2,6
376,0.96,69.7,59.0,6.09,5.9,4.18,3299,0,3,2
377,1.5,61.3,57.0,7.36,7.39,4.52,5593,2,5,0
378,0.4,61.8,55.0,4.74,4.8,2.95,1261,2,2,1
379,0.27,62.1,57.0,4.1,4.15,2.56,486,4,4,7
380,1.29,61.0,57.0,7.13,6.95,4.31,5418,3,4,3
381,1.5,62.5,59.0,7.3,7.26,4.55,9055,3,5,5
382,0.7,61.4,57.0,5.73,5.77,3.53,2161,4,2,2
383,0.54,61.8,59.0,5.15,5.22,3.21,1653,4,2,4
384,1.0,63.5,56.0,6.28,6.35,4.01,5122,4,2,2
385,1.26,62.1,57.0,6.94,6.88,4.29,6435,3,4,2
386,0.91,63.5,57.0,6.11,6.07,3.87,4138,4,1,2
387,0.32,61.4,57.0,4.39,4.44,2.71,655,2,5,1
388,0.7,60.6,58.0,5.73,5.75,3.48,3239,3,0,4
389,0.51,62.6,55.0,5.15,5.1,3.21,1875,2,2,5
390,0.3,60.8,57.0,4.33,4.38,2.65,491,2,3,5
391,0.3,62.5,56.0,4.27,4.24,2.66,675,2,4,4
392,0.56,60.5,57.0,5.32,5.36,3.23,2442,4,1,7
393,1.5,63.0,59.0,7.24,7.3,4.58,13372,4,0,5
394,0.31,62.3,57.0,4.3,4.34,2.69,625,2,2,5
395,0.31,63.1,57.0,4.28,4.31,2.71,516,1,2,2
396,1.62,61.3,56.0,7.54,7.63,4.65,16790,2,2,4
397,0.38,60.9,58.0,4.63,4.67,2.83,933,4,0,5
398,0.51,61.3,59.0,5.17,5.11,3.15,1443,3,3,5
399,1.23,60.6,59.0,6.89,6.94,4.19,6459,4,4,5
400,1.19,60.2,61.0,6.91,6.87,4.15,3572,3,1,0
